,Unnamed: 0,No,year,month,day,hour,season,AQI,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
0,43824,43825,2015,1,1,0,4,114,5,32,8,22,-21,29,1034,-6,SE,0.89,0,0
1,43825,43826,2015,1,1,1,4,104,4,12,7,9,-22,23,1034,-4,NW,4.92,0,0
2,43826,43827,2015,1,1,2,4,92,3,19,7,9,-21,27,1034,-5,NW,8.94,0,0
3,43827,43828,2015,1,1,3,4,64,4,9,11,13,-21,29,1035,-6,NW,12.96,0,0
4,43828,43829,2015,1,1,4,4,48,3,11,5,10,-21,27,1034,-5,NW,16.98,0,0
5,43829,43830,2015,1,1,5,4,28,3,18,3,6,-22,23,1034,-4,NW,24.13,0,0
6,43830,43831,2015,1,1,6,4,22,3,20,6,8,-23,22,1034,-5,NW,25.92,0,0
7,43831,43832,2015,1,1,7,4,25,3,22,7,17,-22,26,1035,-6,SE,1.79,0,0
9,43833,43834,2015,1,1,9,4,31,5,37,11,33,-22,24,1035,-5,NE,1.79,0,0
10,43834,43835,2015,1,1,10,4,34,4,37,36,37,-22,21,1035,-3,NE,4.92,0,0
11,43835,43836,2015,1,1,11,4,29,21,40,40,40,-22,19,1034,-2,cv,1.79,0,0
12,43836,43837,2015,1,1,12,4,20,41,63,61,63,-22,17,1032,0,cv,3.58,0,0
13,43837,43838,2015,1,1,13,4,33,40,58,54,62,-22,16,1030,1,SE,3.13,0,0
14,43838,43839,2015,1,1,14,4,36,28,48,53,44,-23,13,1029,2,SE,6.26,0,0
15,43839,43840,2015,1,1,15,4,60,29,42,41,48,-23,13,1028,2,SE,9.39,0,0
16,43840,43841,2015,1,1,16,4,88,31,53,51,51,-24,12,1027,2,SE,13.41,0,0
17,43841,43842,2015,1,1,17,4,106,52,68,68,82,-23,14,1027,1,SE,16.54,0,0
18,43842,43843,2015,1,1,18,4,113,64,85,81,87,-21,20,1026,-1,SE,19.67,0,0
19,43843,43844,2015,1,1,19,4,116,75,94,88,106,-19,25,1026,-2,cv,0.89,0,0
20,43844,43845,2015,1,1,20,4,128,82,107,100,123,-19,34,1026,-6,NE,1.79,0,0
21,43845,43846,2015,1,1,21,4,142,88,138,102,136,-19,40,1026,-8,NE,2.68,0,0
22,43846,43847,2015,1,1,22,4,150,86,158,124,139,-18,38,1026,-6,NW,1.79,0,0
23,43847,43848,2015,1,1,23,4,163,80,175,134,154,-17,48,1027,-8,NE,1.79,0,0
24,43848,43849,2015,1,2,0,4,168,82,161,126,126,-18,32,1027,-4,NW,1.79,0,0
25,43849,43850,2015,1,2,1,4,175,81,119,98,98,-19,32,1028,-5,NW,4.92,0,0
26,43850,43851,2015,1,2,2,4,178,68,95,68,66,-18,35,1028,-5,NW,9.84,0,0
